id;name;name_short;gmaps;note;published
24;DJK Sport Club Flingern 08 e.V.;SC Flingern;https://maps.google.de/maps?q=sc+flingern&hl=de&ll=51.22613,6.830041&spn=0.007377,0.021136&sll=51.238455,6.81435&sspn=0.236012,0.676346&t=h&hq=sc+flingern&z=16&iwloc=A;;
25;DJK SV Eintracht 05 (jetzt SV Oberbilk 09);Eintracht 05;;;
26;DÃ¼sseldorfer Sportverein 04 Lierenfeld e.V.;DSV 04;https://www.google.de/maps?q=Wilhelm-Heinrich-Weg+2,+D%C3%BCsseldorf&ie=UTF8&sll=51.21350330000005,6.832295000000015&sspn=0.007124942558220846,0.020602245827329536&t=m&dg=opt&hnear=Wilhelm-Heinrich-Weg+2,+Stadtbezirke+08+40231+D%C3%BCsseldorf&z=16&iwloc=A;;
27;GrÃ¼n-WeiÃŸ-Rot 1930 e.V. DÃ¼sseldorf;GrÃ¼n-WeiÃŸ-Rot;https://www.google.de/maps/preview#!data=!1m4!1m3!1d2461!2d6.7699563!3d51.1929564!4m12!2m11!1m10!1s0x0%3A0x5911a78ca1fc7a76!3m8!1m3!1d1273698!2d7.6639887!3d51.4270853!3m2!1i1024!2i768!4f13.1;;
28;FC BÃ¼derich 02 e.V.;BÃ¼derich;https://www.google.de/maps/preview#!q=Am+Eisenbrand+45%2C+Meerbusch&data=!1m4!1m3!1d9990!2d6.674795!3d51.246524!2m1!1e3!4m15!2m14!1m13!1s0x47b8b6a1fba2bd49%3A0x24619ce13f24701a!3m8!1m3!1d20008!2d6.813755!3d51.183029!3m2!1i1024!2i768!4f13.1!4m2!3d51.2457873!4d6.6753238&fid=7;;
29;Schulsportplatz Am Kikweg;Kikweg;https://www.google.de/maps/preview#!q=schulsportplatz+am+kikweg&data=!4m15!2m14!1m13!1s0x47b8cc790ed63b05%3A0xe85e117b09145dcf!3m8!1m3!1d220652!2d6.8143501!3d51.2384547!3m2!1i1920!2i1060!4f13.1!4m2!3d51.196605!4d6.854131;;
30;Sportpark Niederheid;Sportpark Niederheid;https://www.google.de/maps/place/Sportpark+Niederheid/@51.170099,6.852784,17z/data=!4m7!1m4!3m3!1s0x47b8cc98554ea9cf:0x829d0cef8dcd96f3!2sSportpark+Niederheid!3b1!3m1!1s0x0:0xb2eccb7a04c966d4;;
31;DjK Sportfreunde Gerresheim 1923 e.V.;Gerresheim;https://www.google.de/maps/place/DJK+Sportfreunde+Gerresheim+1923+e.V./@51.2319873,6.8507614,16z/data=!4m6!1m3!3m2!1s0x47b8c9550d05980d:0xe0522b1165a35e04!2sDJK+Sportfreunde+Gerresheim+1923+e.V.!3m1!1s0x47b8c9550d05980d:0xe0522b1165a35e04;;
32;SV Hilden-Nord 1964 e.V.;Hilden-Nord;https://www.google.de/maps/place/SV+Hilden-Nord+1964+e.V./@51.1858873,6.9299751,17z/data=!3m1!4b1!4m2!3m1!1s0x47b8cd9e7abe864b:0x2a6e47ffbec3e9f6?hl=de;;
33;Sportring Eller 1892 e.V.;Eller;https://www.google.de/maps/place/Gastst%C3%A4tte+%22Sportring+Eller%22/@51.2111703,6.8408296,15z/data=!4m5!3m4!1s0x0:0xd4d02ba59f366620!8m2!3d51.2111703!4d6.8408296;;
34;TuS DÃ¼sseldorf-Nord e.V.;TuS Nord;https://goo.gl/maps/4r3yoYYCNHx;;
35;Bezirkssportanlage Grazer StraÃŸe (SF Baumberg);Baumberg;https://goo.gl/maps/MGcKUyvnpLy;;
